,Unnamed: 0,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints,TeamPPG,teamOPPG,TeamYPG,TeamPassPct
43,43,Aaron,Jones,2019,Green Bay,RB,25.0,Aaron Jones,29.33333333333333,20.33333333333333,144.66666666666666,0.6666666666666666,66.19999999999999,115.66666666666669,634.6666666666666,6.666666666666667,0.6666666666666666,3.0,314.8,23.5,25.0,369.1,67.54
44,44,Ezekiel,Elliott,2019,Dallas,RB,24.0,Ezekiel Elliott,80.75,64.25,492.5,2.75,77.925,288.5,1321.25,6.25,4.75,4.0,311.7,21.4,20.9,343.8,56.77
45,45,Edgerrin,James,2005,Indianapolis,RB,27.0,Edgerrin James,63.17777777777778,51.0,427.8222222222222,0.0,81.18666666666667,327.06666666666666,1464.5111111111112,9.577777777777778,5.711111111111111,7.0,310.3,31.9,21.9,404.4,56.97
46,46,Austin,Ekeler,2019,LA Chargers,RB,24.0,Austin Ekeler,46.45454545454545,34.63636363636363,358.54545454545456,3.0,74.87272727272726,84.54545454545455,447.09090909090907,2.636363636363636,1.3636363636363635,3.0,309.0,26.6,21.5,363.3,58.85
47,47,DeAngelo,Williams,2008,Carolina,RB,25.0,DeAngelo Williams,37.422222222222224,25.88888888888889,214.86666666666667,1.0,69.51333333333334,137.35555555555555,654.6,3.1333333333333333,1.0,3.0,305.6,16.7,21.7,284.9,54.4
48,48,Arian,Foster,2011,Houston,RB,25.0,Arian Foster,72.15789473684211,56.8421052631579,523.3157894736842,1.6842105263157894,80.22631578947369,283.89473684210526,1401.421052631579,13.947368421052632,2.6842105263157894,3.0,305.1,24.4,26.7,386.6,58.89
49,49,Maurice,Drew,2011,Jacksonville,RB,26.0,Maurice Jones-Drew,53.81818181818182,40.90909090909091,337.72727272727275,1.6363636363636365,76.31818181818181,303.72727272727275,1348.3636363636365,8.636363636363637,2.0,6.0,305.0,22.1,26.2,341.4,49.71
50,50,Derrick,Henry,2022,Tennessee,RB,28.0,Derrick Henry,25.5,18.5,134.0,0.0,75.65,298.5,1482.0,13.5,2.0,7.0,302.8,24.2,20.7,343.1,51.22
51,51,Marshawn,Lynch,2014,Seattle,RB,28.0,Marshawn Lynch,39.333333333333336,31.666666666666668,276.0,1.6666666666666667,80.10000000000001,305.6666666666667,1368.0,11.666666666666666,4.333333333333333,8.0,302.3,25.7,14.6,333.8,47.29
52,52,Arian,Foster,2012,Houston,RB,26.0,Arian Foster,76.57142857142857,57.95238095238095,612.047619047619,2.0,75.5047619047619,296.6666666666667,1373.3333333333333,12.285714285714286,4.238095238095238,4.0,302.1,23.6,17.1,367.2,47.77
53,53,Tiki,Barber,2006,NY Giants,RB,31.0,Tiki Barber,73.0,53.333333333333336,546.0,2.0,73.33333333333333,345.3333333333333,1746.0,10.333333333333334,2.333333333333333,10.0,298.7,24.8,19.8,348.2,55.73
54,54,LeSean,McCoy,2010,Philadelphia,RB,22.0,LeSean McCoy,55.0,40.0,308.0,0.0,72.7,155.0,637.0,4.0,2.0,2.0,297.2,26.1,21.8,356.8,61.49
55,55,Knowshon,Moreno,2013,Denver,RB,26.0,Knowshon Moreno,22.65217391304348,17.956521739130434,146.91304347826087,0.3043478260869565,78.51739130434783,107.2608695652174,419.69565217391306,2.782608695652174,1.0,5.0,296.6,30.4,19.2,397.9,55.65
56,56,LeSean,McCoy,2016,Buffalo,RB,28.0,LeSean McCoy,44.8,30.4,237.2,1.2,68.67999999999999,246.6,1064.6,3.8,2.8,8.0,296.3,23.7,22.4,360.9,49.9
57,57,Peyton,Hillis,2010,Cleveland,RB,24.0,Peyton Hillis,9.9,7.0,67.0,0.3,68.8,29.5,140.7,2.2,0.7,3.0,294.92,15.3,23.4,260.2,48.71
58,58,Derrick,Henry,2019,Tennessee,RB,25.0,Derrick Henry,17.666666666666668,13.666666666666666,111.33333333333331,0.3333333333333333,77.10000000000001,202.0,954.0,9.666666666666666,1.0,4.0,294.6,19.4,18.9,312.6,51.49
59,59,DeMarco,Murray,2016,Tennessee,RB,28.0,DeMarco Murray,58.130434782608695,48.52173913043478,354.69565217391306,0.6521739130434783,83.16521739130435,262.2173913043478,1099.5652173913045,8.434782608695652,3.0434782608695654,6.0,293.7999999999999,18.7,26.4,311.8,61.99
60,60,LaMont,Jordan,2005,Las Vegas,RB,27.0,LaMont Jordan,15.0,13.666666666666666,108.33333333333331,0.0,90.73333333333332,77.33333333333333,382.6666666666667,2.6666666666666665,0.6666666666666666,5.0,292.8,20.0,27.6,322.1,65.0
61,61,Dalvin,Cook,2019,Minnesota,RB,24.0,Dalvin Cook,43.92307692307692,35.53846153846154,271.9230769230769,1.6923076923076923,79.63076923076922,123.92307692307692,574.8461538461538,2.0,1.8461538461538465,3.0,292.4,22.5,21.3,345.6,64.41
62,62,Willie,Parker,2006,Pittsburgh,RB,26.0,Willie Parker,20.42105263157895,14.842105263157896,175.47368421052633,0.7894736842105263,68.2421052631579,208.05263157894737,988.1052631578948,3.1578947368421053,3.1578947368421053,3.0,288.6,24.8,16.0,324.4,42.61
63,63,Melvin,Gordon,2017,LA Chargers,RB,24.0,Melvin Gordon,50.0,38.2,339.55,1.3,77.955,229.5,872.4,6.5,3.4,3.0,288.1,25.6,26.4,356.8,60.75
64,64,Joe,Mixon,2021,Cincinnati,RB,25.0,Joe Mixon,36.85714285714285,29.0,223.1428571428572,2.142857142857143,79.08571428571427,209.8571428571429,833.1428571428571,4.142857142857143,0.4285714285714285,5.0,288.0,19.4,26.5,319.8,60.48
65,65,Devonta,Freeman,2016,Atlanta,RB,24.0,Devonta Freeman,76.1304347826087,58.04347826086956,455.2173913043478,2.3043478260869565,77.31739130434782,195.43478260869568,774.9565217391304,7.521739130434782,2.3043478260869565,3.0,284.1,21.2,21.6,374.3,60.8
66,66,Saquon,Barkley,2022,NY Giants,RB,25.0,Saquon Barkley,53.57142857142857,38.5,248.5,1.8571428571428568,71.52857142857144,151.78571428571428,553.0714285714286,1.8571428571428568,1.8571428571428568,5.0,284.0,15.2,24.5,287.3,60.1
67,67,Ray,Rice,2012,Baltimore,RB,25.0,Ray Rice,97.0,71.66666666666667,654.6666666666666,2.333333333333333,74.03333333333333,296.3333333333333,1316.0,9.666666666666666,1.3333333333333333,5.0,283.1,23.2,16.8,335.8,55.43
68,68,Jamaal,Charles,2010,Kansas City,RB,24.0,Jamaal Charles,49.43478260869565,35.47826086956522,288.30434782608694,1.0,71.48260869565217,147.2173913043478,854.6086956521739,4.565217391304348,3.3043478260869565,3.0,282.5,18.4,26.5,303.2,57.02
69,69,Nick,Chubb,2022,Cleveland,RB,26.0,Nick Chubb,22.9,18.8,166.8,0.7,82.67,216.6,1201.4,9.2,1.7,5.0,281.4,20.5,21.8,340.6,53.98
