"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"97","Tyler Davis (GB)","4","7","26","6.5","23","1","0","0","0","0","0","11","6.6","0.6","0.0%"
"98","Ryan Griffin (FA)","4","8","26","6.5","18","0","0","0","0","0","0","10","6.6","0.7","0.0%"
"99","Stephen Sullivan (CAR)","2","6","46","23.0","33","2","0","0","0","0","0","8","6.6","0.8","0.0%"
"100","Trevon Wesco (TEN)","2","4","26","13.0","23","1","0","0","0","0","0","6","6.6","1.1","0.0%"
"101","Stone Smartt (LAC)","4","5","17","4.3","8","0","0","0","0","0","0","3","5.7","1.9","0.0%"
"102","Ben Ellefson (FA)","3","3","26","8.7","12","0","0","0","0","0","0","2","5.6","2.8","0.0%"
"103","Kendall Blanton (KC)","2","2","35","17.5","28","1","0","0","0","0","0","2","5.5","2.8","0.0%"
"104","Jesper Horsted (LV)","3","4","19","6.3","9","0","0","0","0","0","0","5","4.9","1.0","0.0%"
"105","Maxx Williams (FA)","3","3","18","6.0","7","0","0","0","0","0","0","3","4.8","1.6","0.0%"
"106","Cole Turner (WAS)","2","9","23","11.5","18","0","0","0","0","0","0","7","4.3","0.6","0.1%"
"107","Stephen Anderson (FA)","3","7","9","3.0","6","0","0","0","0","0","0","9","3.9","0.4","0.0%"
"108","Sean McKeon (DAL)","2","3","11","5.5","10","0","0","0","0","0","0","3","3.1","1.0","0.0%"
"109","Mason Schreck (HOU)","2","2","6","3.0","6","0","0","0","0","0","0","2","2.6","1.3","0.0%"
"110","Devin Asiasi (CIN)","2","4","5","2.5","6","0","0","0","0","0","0","5","2.5","0.5","0.1%"
"111","Drew Sample (CIN)","2","2","-2","-1.0","2","0","0","0","0","0","0","2","1.8","0.9","0.1%"
"112","Jeremy Ruckert (NYJ)","1","2","8","8.0","8","0","0","0","0","0","0","2","1.8","0.9","0.1%"
"113","Tommy Sweeney (NYG)","1","1","7","7.0","7","0","0","0","0","0","0","2","1.7","0.9","0.0%"
"114","Jacob Harris (JAC)","1","1","6","6.0","6","0","0","0","0","0","0","3","1.6","0.5","0.0%"
"115","Richard Rodgers (FA)","1","4","4","4.0","4","0","0","0","0","0","0","3","1.4","0.5","0.0%"
