,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
266,Visanthe,Shiancoe,2010,MIN,TE,30.0,Visanthe Shiancoe,72.33333333333333,51.333333333333336,576.0,9.666666666666666,71.0,0.0,0.0,0.0,0.0,8.0,112.0
267,Noah,Fant,2021,DEN,TE,24.0,Noah Fant,83.6086956521739,54.34782608695652,634.3913043478261,3.0,64.57826086956521,1.0434782608695652,-4.173913043478261,0.0,0.3478260869565217,3.0,159.0
268,Alge,Crumpler,2007,ATL,TE,30.0,Alge Crumpler,108.0,59.0,812.3333333333334,7.0,54.63333333333333,0.0,0.0,0.0,0.3333333333333333,7.0,116.4
269,Jermaine,Gresham,2013,CIN,TE,25.0,Jermaine Gresham,93.3913043478261,61.56521739130435,694.0869565217391,5.304347826086956,65.9086956521739,0.0,0.0,0.0,1.6956521739130437,4.0,109.8
270,Anthony,Fasano,2008,MIA,TE,24.0,Anthony Fasano,22.0,14.0,137.33333333333334,0.6666666666666666,63.9,0.0,0.0,0.0,0.0,3.0,121.4
271,Jack,Doyle,2019,IND,TE,29.0,Jack Doyle,74.66666666666667,56.0,492.22222222222223,3.111111111111111,76.18888888888888,0.0,0.0,0.0,1.5555555555555556,7.0,111.8
272,Anthony,Fasano,2010,MIA,TE,26.0,Anthony Fasano,53.0,32.09090909090909,380.8181818181818,3.8181818181818175,60.57272727272727,0.0,0.0,0.0,1.2727272727272727,5.0,115.8
273,O.J.,Howard,2018,TAM,TE,24.0,O.J. Howard,39.0,26.0,432.0,6.0,66.7,0.0,0.0,0.0,3.0,2.0,120.5
274,Ryan,Griffin,2016,HOU,TE,26.0,Ryan Griffin,25.529411764705884,15.294117647058824,175.7058823529412,1.5294117647058822,60.54117647058823,0.0,0.0,0.0,0.0,4.0,104.2
275,Billy,Miller,2008,NOR,TE,31.0,Billy Miller,34.19047619047619,23.904761904761905,280.6190476190476,1.5238095238095235,69.31428571428572,0.0,0.0,0.0,0.238095238095238,9.0,108.9
276,Evan,Engram,2019,NYG,TE,25.0,Evan Engram,84.67567567567568,52.7027027027027,635.7837837837837,4.216216216216216,64.38108108108108,2.189189189189189,27.08108108108108,0.0,0.0,3.0,109.4
277,Dustin,Keller,2009,NYJ,TE,25.0,Dustin Keller,78.0,48.0,535.0,3.0,61.5,0.0,0.0,0.0,0.0,2.0,107.9
278,Tyler,Higbee,2022,LAR,TE,29.0,Tyler Higbee,76.66666666666667,55.333333333333336,547.0,5.0,72.3,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,7.0,152.0
279,Austin,Seferian-Jenkins,2017,NYJ,TE,25.0,Austin Seferian-Jenkins,25.32,15.24,205.52,1.84,61.864,0.0,0.0,0.0,0.0,4.0,101.7
280,Kevin,Boss,2010,NYG,TE,26.0,Kevin Boss,64.33333333333333,39.0,506.0,5.333333333333333,60.6,0.6666666666666666,10.666666666666666,0.0,0.0,4.0,116.1
281,Kyle,Rudolph,2019,MIN,TE,30.0,Kyle Rudolph,81.66666666666667,61.66666666666666,600.0,5.333333333333333,75.46666666666667,0.0,0.0,0.0,0.0,9.0,111.7
282,Greg,Olsen,2010,CHI,TE,25.0,Greg Olsen,99.33333333333331,58.0,599.3333333333334,7.0,59.03333333333334,0.0,0.0,0.0,0.6666666666666666,4.0,109.4
283,Hayden,Hurst,2020,ATL,TE,27.0,Hayden Hurst,34.63636363636363,25.363636363636363,298.27272727272725,1.7272727272727273,71.33636363636364,0.2727272727272727,0.0,0.0,0.0,3.0,149.0
284,Noah,Fant,2020,DEN,TE,23.0,Noah Fant,66.0,40.0,562.0,3.0,60.6,3.0,-12.0,0.0,1.0,2.0,149.0
285,Rob,Gronkowski,2020,TAM,TE,31.0,Rob Gronkowski,72.0,47.0,682.0,3.0,65.3,0.0,0.0,0.0,1.0,10.0,149.0
286,Scott,Chandler,2011,BUF,TE,26.0,Scott Chandler,3.0,1.0,8.0,0.0,33.3,0.0,0.0,0.0,0.0,3.0,110.9
287,Pat,Freiermuth,2022,PIT,TE,23.0,Pat Freiermuth,79.0,60.0,497.0,7.0,75.9,0.0,0.0,0.0,1.0,2.0,148.2
288,Brent,Celek,2013,PHI,TE,28.0,Brent Celek,91.47826086956522,58.73913043478261,728.1739130434783,2.391304347826087,64.27826086956522,0.0,0.0,0.0,0.6521739130434783,7.0,116.2
289,Ben,Watson,2007,NWE,TE,27.0,Ben Watson,77.46341463414635,41.68292682926829,569.0975609756098,3.365853658536585,53.76341463414634,0.0,0.0,0.0,2.268292682926829,4.0,112.0
290,C.J.,Uzomah,2018,CIN,TE,25.0,C.J. Uzomah,21.05263157894737,13.947368421052632,129.3684210526316,1.0,66.46315789473685,0.0,0.0,0.0,0.0,4.0,104.9
291,Joel,Dreessen,2012,DEN,TE,30.0,Joel Dreessen,44.333333333333336,30.666666666666668,408.0,5.333333333333333,69.7,0.0,0.0,0.0,0.3333333333333333,7.0,106.6
