,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
327,Chris,Brown,2005,TEN,RB,24.0,Chris Brown,25.0,16.0,118.33333333333331,0.0,70.03333333333335,165.33333333333334,785.0,4.0,4.333333333333333,3.0,178.8
328,Alfred,Morris,2013,WAS,RB,25.0,Alfred Morris,16.0,11.0,77.0,0.0,68.8,335.0,1613.0,13.0,4.0,2.0,178.3
329,Devin,Singletary,2022,BUF,RB,25.0,Devin Singletary,50.0,39.36,241.12,0.68,78.72,177.76,811.44,5.4,3.72,4.0,178.2
330,Rashard,Mendenhall,2011,PIT,RB,24.0,Rashard Mendenhall,33.333333333333336,23.666666666666668,198.33333333333331,0.3333333333333333,71.1,296.6666666666667,1218.0,11.0,2.333333333333333,4.0,178.2
331,David,Montgomery,2022,CHI,RB,25.0,David Montgomery,57.21951219512195,46.39024390243903,351.1219512195122,0.7317073170731707,81.30243902439025,233.0487804878049,929.8536585365854,7.365853658536586,1.0,4.0,177.7
332,Chester,Taylor,2007,MIN,RB,28.0,Chester Taylor,51.66666666666666,41.66666666666666,289.3333333333333,0.3333333333333333,80.73333333333333,241.0,973.0,4.0,4.333333333333333,6.0,177.5
333,Andre,Ellington,2014,ARI,RB,25.0,Andre Ellington,57.0,39.0,371.0,1.0,68.4,118.0,652.0,3.0,1.0,2.0,177.5
334,Willie,Parker,2007,PIT,RB,27.0,Willie Parker,36.255319148936174,26.851063829787236,220.72340425531917,2.3617021276595747,74.18297872340425,310.82978723404256,1400.8085106382978,10.127659574468083,6.042553191489362,4.0,177.0
335,LeSean,McCoy,2015,BUF,RB,27.0,LeSean McCoy,46.0,36.0,283.0,0.6666666666666666,77.56666666666666,312.6666666666667,1415.0,6.333333333333333,3.0,7.0,176.7
336,LaDainian,Tomlinson,2009,SDG,RB,30.0,LaDainian Tomlinson,80.0,54.66666666666666,442.3333333333333,1.6666666666666667,68.26666666666667,299.6666666666667,1231.3333333333333,12.333333333333334,0.6666666666666666,9.0,176.4
