"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"205","Frank Darby (ATL)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.1%"
"206","Tyron Johnson (DAL)","1","1","8","8.0","8","0","0","0","0","0","0","2","1.8","0.9","0.0%"
"207","Maurice Alexander (DET)","1","1","7","7.0","7","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"208","Jalen Camp (HOU)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"209","Braylon Sanders (MIA)","2","3","17","8.5","13","0","0","0","0","0","1","2","1.7","0.9","0.0%"
"210","C.J. Board (FA)","1","1","6","6.0","6","0","0","0","0","0","0","4","1.6","0.4","0.0%"
"211","Jason Moore Jr. (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"212","Deonte Harty (BUF)","2","2","13","6.5","9","0","0","0","0","0","1","4","1.3","0.3","0.2%"
"213","Erik Ezukanma (MIA)","1","1","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"214","Mason Kinsey (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"215","Cody White (PIT)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"216","Keke Coutee (NO)","1","1","20","20.0","20","1","0","0","0","0","1","7","1.0","0.1","0.0%"
"217","Ihmir Smith-Marsette (KC)","1","4","15","15.0","15","0","0","1","-1","0","1","4","0.4","0.1","0.0%"
"218","Hakeem Butler (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","J.J. Arcega-Whiteside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Collin Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Malik Turner (IND)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"222","Isaiah Coulter (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"224","Ja'Marcus Bradley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","2.5%"
